Model,Brand,Year,Price
Dakota,Dodge,2009,27960
Element,Honda,2010,23885
Murano,Nissan,2017,29740
Rapide,Aston Martin,2011,207895
SS,Chevrolet,2015,45745
570S Coupe,Mclaren,2018,229000.0
ALPINA B6 Gran Coupe,BMW,2015,117300
MKS,Lincoln,2015,45840
Arnage,Bentley,2008,242990
Insight,Honda,2013,22065
Monte Carlo,Chevrolet,2005,28355
Ram Wagon,Dodge,2001,23360
300 Touring,Chrysler,2021,30440.0
 Rogue Sport , Nissan   ,2023,"23,430"
SQ5,Audi,2017,60800
Santa Fe,Hyundai,2017,36700
RS 5,Audi,2013,77900
JX,Infiniti,2013,41250
S-10,Chevrolet,2002,15943
MKZ,Lincoln,2017,35010
Frontier,Nissan,2017,25750
Malibu Maxx,Chevrolet,2005,21465
Chiron Super Sport 300 Plus,Bugatti,2020,3900000.0
4 Series,BMW,2017,50300
Q3,Audi,2017,34500
XC60,Volvo,2016,41350
Windstar,Ford,2003,23070
Sonata,Hyundai,2015,23175
500X,FIAT,2016,24635
9-5,Saab,2009,39400
CX-9,Mazda,2016,35970
Ram Pickup 1500,Dodge,2008,29055
Tracker,Chevrolet,2002,20835
Rapide,Aston Martin,2012,226850
Continental Flying Spur,Bentley,2012,184200
Tribute Hybrid,Mazda,2008,27995
Phantom Coupe,Rolls-Royce,2014,433550
LR4,Land Rover,2016,50400
Aztek,Pontiac,2003,20870
62,Maybach,2012,470350
Saga Premium,Proton,2020,9660.0
Shelby GT500,Ford,2013,59200
Prius c,Toyota,2014,20030
Dakota,Dodge,2008,22030
Model S Plaid,Tesla,2021,119990.0
500,FIAT,2017,19995
V70,Volvo,2008,32465
Baja,Subaru,2006,23295
Sierra 1500 Hybrid,GMC,2012,46790
Z3,BMW,2000,4755
Dart,Dodge,2015,21645
Insight,Honda,2012,23690
Tribute Hybrid,Mazda,2009,31695
Baja,Subaru,2005,25345
599,Ferrari,2011,320580
Mustang,Ford,2016,36395
GranTurismo,Maserati,2016,150570
Diamante,Mitsubishi,2002,28447
Murcielago,Lamborghini,2010,450000
Forte,Kia,2017,17500
Celica,Toyota,2003,17340
GLI,Volkswagen,2008,24300
Golf SportWagen,Volkswagen,2017,22680
Baja,Subaru,2004,23995
Forenza,Suzuki,2007,15249
Vanquish,Aston Martin,2016,287650
X1,BMW,2017,33100
New Beetle,Volkswagen,2009,25990
570S Spider,Mclaren,2018,247500.0
LS 400,Lexus,2000,5035
Z8,BMW,2003,131500
Accord,Honda,2017,26215
Camry,Toyota,2015,26150
RS 7,Audi,2016,108900
Outback,Subaru,2016,30695
C-Class,Mercedes-Benz,2015,40400
Jimmy,GMC,2001,30225
Beetle,Volkswagen,2017,20475
3 Series Gran Turismo,BMW,2017,49650
CL-Class,Mercedes-Benz,2012,211000
57,Maybach,2010,366000
Explorer Sport Trac,Ford,2008,29235
S-10,Chevrolet,2002,20984
M6,BMW,2015,118200
M56,Infiniti,2011,60950
 Outback     , Subaru   ,2023,"31,945"
Metris,Mercedes-Benz,2016,32500
Sunfire,Pontiac,2005,15205
Maxima,Nissan,2016,36990
Continental Supersports,Bentley,2010,267000
GTC4 Lusso,Ferrari,2020,298000.0
Express,Chevrolet,2014,34525
RX-8,Mazda,2009,31930
 Maverick    , Ford     ,2023,"21,820"
CX-9,Mazda,2015,35035
Montero Sport,Mitsubishi,2003,25637
Cavalier,Chevrolet,2003,14230
X4,BMW,2016,57800
Caliber,Dodge,2012,18730
Touareg,Volkswagen,2016,51450
RL,Acura,2011,51350
9-3,Saab,2009,44455
Sierra 1500 Classic,GMC,2007,28845
ES 300h,Lexus,2015,40580
Corsair Standard,Lincoln,2022,36100.0
Kwid Std,Renault,2019,3810.0
Dakota,Dodge,2009,22560
Trax,Chevrolet,2017,24400
Reno,Suzuki,2007,15199
Vibe,Pontiac,2010,20275
Sierra 1500 Classic,GMC,2007,35520
Wraith,Rolls-Royce,2015,294025
Arnage,Bentley,2007,221990
Ranger,Ford,2009,17680
Envoy XL,GMC,2005,31945
500X Trekking Plus AWD,Fiat,2019,29440.0
Phantom Drophead Coupe,Rolls-Royce,2014,474600
Sonata Hybrid,Hyundai,2017,26000
CL,Acura,2002,28030
Kwid Climber AMT Easy-R,Renault,2019,7000.0
Rondo,Kia,2008,18895
G Convertible,Infiniti,2011,50200
Dart,Dodge,2016,19495
ES 300h,Lexus,2017,41820
Enya Coupe iV 80,Skoda,2022,53410.0
CTS Coupe,Cadillac,2014,39495
Q7,Audi,2015,61900
Legacy,Subaru,2016,21745
Kizashi,Suzuki,2013,25799
Firebird,Pontiac,2002,26965
Vibe,Pontiac,2009,20875
Cavalier,Chevrolet,2004,15905
Rio,Kia,2016,20755
Town Car,Lincoln,2011,47225
Sierra 1500,GMC,2015,43360
Aventador,Lamborghini,2016,443800
 X5          , BMW      ,2022,"62,700"
Verano,Buick,2016,23480
MKC,Lincoln,2016,46455
Aerio,Suzuki,2006,17099
V60,Volvo,2017,48950
Aveo,Chevrolet,2009,15365
Tucson Hybrid,Hyundai,2022,26130.0
Enclave,Buick,2016,43660
Magnum,Dodge,2006,29100
XL7,Suzuki,2007,29549
Optima Hybrid,Kia,2016,32195
500X Urbana Edition AWD,Fiat,2019,26240.0
Freestyle,Ford,2006,28530
Divo,Bugatti,2020,5800000.0
S8,Audi,2017,115900
R-Class,Mercedes-Benz,2012,52690
Aurora,Oldsmobile,2002,35085
Corvette,Chevrolet,2016,88345
4 Series Convertible,BMW,2022,54290.0
S4,Audi,2014,49500
M4,BMW,2015,64200
FX50,Infiniti,2010,59000
Silverado 1500 Classic,Chevrolet,2007,15840
QX60,Infiniti,2022,46850.0
Passat,Volkswagen,2015,26280
Ghibli,Maserati,2016,76050
Triber RXT,Renault,2019,8300.0
ActiveHybrid X6,BMW,2011,88900
Ram Pickup 1500,Dodge,2008,41350
Ghost,Rolls-Royce,2012,250000
Dakota,Dodge,2009,28630
Centodieci,Bugatti,2020,9000000.0
CTS,Cadillac,2017,61195
CR-Z,Honda,2016,22140
Virage,Aston Martin,2012,208295
Venture,Chevrolet,2003,22440
Q40,Infiniti,2015,33950
Enclave Premium,Buick,2021,48400.0
Flying Spur,Bentley,2015,215800
CX-5,Mazda,2016,21795
SL-Class,Mercedes-Benz,2016,108050
Macan,Porsche,2017,67200
Suburban,Chevrolet,2015,54205
Sedona,Kia,2017,41900
 CVT,Renault,2019,14500.0
Santa Fe,Hyundai,2016,32150
3 Pro Performance,Volkswagen,2022,41990.0
xD,Scion,2014,15920
Civic,Honda,2015,24340
Terrain,GMC,2016,28300
Triber RXZ EASY R AMT Dual Tone,Renault,2022,10660.0
DB11 V8,Aston Martin,2021,205600.0
Sierra 1500 Classic,GMC,2007,20715
500X Blue Sky Edition AWD,Fiat,2019,24700.0
Envoy XL,GMC,2004,33570
GLE-Class Coupe,Mercedes-Benz,2017,69650
Soul EV,Kia,2016,33950
Prius,Toyota,2015,25765
Montana,Pontiac,2003,33790
G3,Pontiac,2009,14335
HS 250h,Lexus,2011,39100
Millenia,Mazda,2000,2381
TLX,Acura,2017,42600
612 Scaglietti,Ferrari,2009,313088
570S Spider,Mclaren,2020,208800.0
Savana Cargo,GMC,2016,32455
Thunderbird,Ford,2004,38480
Giulia Veloci Ti,Alfa Romeo,2022,45090.0
Triber RXE,Renault,2019,6990.0
Monte Carlo,Chevrolet,2007,22625
TLX,Acura,2015,41575
EuroVan,Volkswagen,2001,27700
Sierra 1500 Classic,GMC,2007,26820
GS 400,Lexus,2000,3965
LX 600 F SPORT Handling,Lexus,2022,101000.0
CR-V,Honda,2015,32895
Impreza,Subaru,2017,18395
Hector Super Petrol,MG,2019,22300.0
 Q5          , Audi     ,2023,"43,200"
Titan,Nissan,2015,41160
Touareg 2,Volkswagen,2009,48900
B-Series Pickup,Mazda,2000,3107
RAV4,Toyota,2015,25240
Huracan EVO,Lamborghini,2020,261270.0
XTS,Cadillac,2015,64245
Cayman,Porsche,2016,64100
CLK-Class,Mercedes-Benz,2007,62900
500L Pop Hatch,Fiat,2020,21990.0
9-2X,Saab,2006,26950
SRX,Cadillac,2016,37605
Aerio,Suzuki,2005,17349
6 Series Gran Coupe,BMW,2017,91200
Enclave Avenir,Buick,2021,53800.0
Caliber,Dodge,2011,18620
QX56,Infiniti,2011,61800
RX-8,Mazda,2010,32140
Focus,Ford,2015,18460
Traverse,Chevrolet,2017,38650
Highlander,Toyota,2015,34750
Taurus X,Ford,2008,27030
xA,Scion,2006,12780
Camry Solara,Toyota,2007,19930
FX,Infiniti,2013,53400
Prius,Toyota,2016,24200
Charger,Dodge,2015,47995
350Z,Nissan,2007,35550
Aviator,Lincoln,2003,45125
Grand Voyager,Plymouth,2000,2267
Duster RXS,Renault,2019,13400.0
XT5,Cadillac,2017,62500
CLS-Class,Mercedes-Benz,2015,73200
Vitara,Suzuki,2002,18199
Envoy,GMC,2008,34020
 Fit         , Honda    ,2023,"17,600"
 Soul        , Kia      ,2023,"21,490"
MKS,Lincoln,2016,41005
Element,Honda,2011,24185
Kwid RXE,Renault,2019,6800.0
Escalade Hybrid,Cadillac,2013,74425
LaFerrari,Ferrari,2021,4499998.0
Blazer,Chevrolet,2004,21055
XL7,Suzuki,2008,26699
MPV,Mazda,2006,22115
Diamante,Mitsubishi,2004,26819
DB11 V8,Aston Martin,2022,285600.0
ZDX,Acura,2011,46020
TrailBlazer,Chevrolet,2008,27745
Safari Cargo,GMC,2004,25195
Sebring,Chrysler,2008,20865
GTI,Volkswagen,2012,26275
Tundra TRD Lift Kit,Toyota,2022,37000.0
XL7,Suzuki,2008,26599
Vanquish Manual,Aston Martin,2022,285600.0
Phaeton,Volkswagen,2005,74600
Rapide S,Aston Martin,2015,203995
H3T,HUMMER,2010,39205
Ram Pickup 1500,Dodge,2008,32155
Borrego,Kia,2009,30995
M-Class,Mercedes-Benz,2015,62900
Dakota,Dodge,2008,32135
Crown Victoria,Ford,2011,29905
allroad,Audi,2016,42700
STS-V,Cadillac,2009,81795
Murano CrossCabriolet,Nissan,2014,41995
CLK-Class,Mercedes-Benz,2008,135000
Explorer Sport,Ford,2001,24055
GranSport,Maserati,2006,98872
765LT,Mclaren,2021,299000.0
RS 4,Audi,2008,66910
X6 M,BMW,2015,102100
Lancer Sportback,Mitsubishi,2013,18495
Intrepid,Dodge,2004,25415
Celica,Toyota,2004,19535
MKX,Lincoln,2015,40850
Ram Pickup 1500,Dodge,2009,40270
Aveo,Chevrolet,2009,11965
I-Pace EV400,Jaguar,2022,85540.0
S-10,Chevrolet,2002,17284
CX-9,Mazda,2014,31575
G8,Pontiac,2009,31755
1 Series,BMW,2012,31200
Eos,Volkswagen,2016,31995
Blazer,Chevrolet,2003,20745
Fusion,Ford,2015,27830
E-Series Wagon,Ford,2014,32675
Ram Cargo,Dodge,2002,21430
Bentayga Speed,Bentley,2020,275500.0
E-Class,Mercedes-Benz,2015,55850
Accent,Hyundai,2014,17395
RC 300,Lexus,2016,42610
Continental GTC Speed,Bentley,2011,236100
Encore,Buick,2017,31965
G Convertible,Infiniti,2012,51300
Z4,BMW,2015,48950
Silverado 1500 Hybrid,Chevrolet,2012,42840
Durango,Dodge,2017,37495
Lancer,Mitsubishi,2017,20295
6,Mazda,2015,24895
CTS Wagon,Cadillac,2013,44190
Ram Pickup 1500,Dodge,2009,25975
Windstar,Ford,2002,28900
Yaris iA,Toyota,2017,15950
Hector Super Diesel,MG,2019,24600.0
Fiesta,Ford,2016,14880
i20 N Line N6 iMT Dual Tone,Hyundai,2022,12600.0
Golf R DSG,Volkswagen,2022,44440.0
Hector Style Petrol,MG,2019,20900.0
Verna S Plus,Hyundai,2022,12390.0
500L Pop Hatch,Fiat,2019,21900.0
Accord Hybrid,Honda,2014,31905
XL-7,Suzuki,2004,22599
4 Series Gran Coupe,BMW,2016,43650
 Carnival    , Kia      ,2023,"35,600"
Astro,Chevrolet,2004,26195
124 Spider Lusso Convertible,Fiat,2019,29040.0
Venza,Toyota,2013,31510
Continental Flying Spur Speed,Bentley,2012,209600
Mirage,Mitsubishi,2015,12995
TSX,Acura,2014,31635
Monte Carlo,Chevrolet,2006,23430
Nautilus Black Label,Lincoln,2021,65090.0
QX,Infiniti,2013,64450
RS 7,Audi,2017,110700
Ram Cargo,Dodge,2001,20850
EX35,Infiniti,2008,35450
RX 350,Lexus,2017,50320
Envoy XL,GMC,2005,29695
Five Hundred,Ford,2006,28230
Windstar Cargo,Ford,2002,20585
Venture,Chevrolet,2003,24040
Malibu Maxx,Chevrolet,2006,20165
9-3,Saab,2009,38305
Express,Chevrolet,2015,32190
Uplander,Chevrolet,2007,33050
FX35,Infiniti,2009,43600
Sorento,Kia,2017,28500
Suburban,Chevrolet,2016,54730
XL-7,Suzuki,2005,27799
Neon,Plymouth,2000,2000
FX45,Infiniti,2007,49850
Cullinan,Rolls Royce,2020,383300.0
B9 Tribeca,Subaru,2006,37695
Cobalt,Chevrolet,2008,19695
GranTurismo Convertible,Maserati,2014,143300
Navigator Reserve 4x4,Lincoln,2021,84640.0
SF90 Stradale,Ferrari,2020,625000.0
Dawn,Rolls-Royce,2016,335000
Q60 Coupe,Infiniti,2015,40950
Escalade EXT,Cadillac,2011,67350
Sedan,Lamborghini,2021,287400.0
TTS,Audi,2016,51900
Z4 M,BMW,2007,52100
Pacifica,Chrysler,2008,24635
Veracruz,Hyundai,2011,28345
LS 600h L,Lexus,2014,120060
RX 350L Luxury AWD,Lexus,2022,55800.0
Veloster,Hyundai,2014,23300
Lancer Sportback,Mitsubishi,2014,21945
500X Trekking AWD,Fiat,2019,24700.0
Q60 Convertible,Infiniti,2014,53400
SC 300,Lexus,2000,4024
M-Class,Mercedes-Benz,2013,51270
X5 M,BMW,2016,98800
360,Ferrari,2003,154090
RS 4,Audi,2008,81900
Cabrio,Volkswagen,2000,2473
Envision Avenir,Buick,2021,40200.0
Ghibli,Maserati,2015,77900
Crossfire,Chrysler,2006,29145
Model S,Tesla,2015,69900
Silverado 1500 Classic,Chevrolet,2007,20075
Flex,Ford,2016,42600
Spectra,Kia,2007,14895
S40,Volvo,2011,27750
Golf,Volkswagen,2017,20995
Mazdaspeed MX-5 Miata,Mazda,2005,25780
B-Series Pickup,Mazda,2000,2689
XL-7,Suzuki,2004,24499
Sonoma,GMC,2003,16270
RX 450h,Lexus,2017,53035
IS 350 C,Lexus,2014,47140
Landaulet,Maybach,2012,1382750
Express Cargo,Chevrolet,2014,32760
Mustang,Ford,2017,25645
Legacy,Subaru,2015,26495
Endeavor,Mitsubishi,2008,27599
Odyssey,Honda,2015,37775
Continental Flying Spur Speed,Bentley,2011,206600
Transit Connect,Ford,2016,22675
S80,Volvo,2014,39900
57,Maybach,2011,372500
612 Scaglietti,Ferrari,2010,313088
Sierra 1500 Classic,GMC,2007,29355
Ranger,Ford,2009,19080
Cavalier,Chevrolet,2004,14435
CTS-V,Cadillac,2017,85995
370Z,Nissan,2016,41820
V8 Vantage,Aston Martin,2015,147495
Prelude,Honda,2001,24600
Durango,Dodge,2015,36895
Freestar,Ford,2005,21630
Rondo,Kia,2009,18495
XC90,Volvo,2016,53250
QX70,Infiniti,2017,45850
Grand Vitara,Suzuki,2012,23949
Blazer,Chevrolet,2004,23255
G Sedan,Infiniti,2013,37150
ES 350,Lexus,2016,38100
Sierra 1500 Classic,GMC,2007,29015
Tribute,Mazda,2009,25950
Corolla,Toyota,2015,18965
X6 M,BMW,2017,102200
NX 200t,Lexus,2017,38585
Q3,Audi,2015,32500
Murcielago,Lamborghini,2008,369200
Impala Limited,Chevrolet,2015,26840
Prius v,Toyota,2015,26675
G6,Pontiac,2010,21275
Canyon,GMC,2016,34280
Discovery Sport,Land Rover,2016,41955
Forenza,Suzuki,2008,15389
Silverado 1500 Hybrid,Chevrolet,2013,51490
XLR,Cadillac,2008,81855
Q70,Infiniti,2015,51350
California,Ferrari,2012,195840
Arnage,Bentley,2008,221990
Urus,Lamborghini,2022,218000.0
370Z,Nissan,2017,37970
Valhalla,Aston Martin,2021,1260000.0
Sierra 1500 Classic,GMC,2007,23850
tC,Scion,2016,19385
Blazer,Chevrolet,2005,24305
Versa,Nissan,2015,13990
ECHO,Toyota,2004,10355
Envoy,GMC,2009,38670
Range Rover Evoque,Land Rover,2017,51000
Challenger SRT Hellcat,Dodge,2021,58990.0
F-150 Heritage,Ford,2004,23830
Creta S,Hyundai,2022,18695.0
Sorento,Kia,2015,38500
Renault Kwid Climber AMT,Renault,2019,6800.0
Camry Solara,Toyota,2007,30460
Concorde,Chrysler,2004,23480
xA,Scion,2004,13280
Corvette Stingray,Chevrolet,2014,53000
Uplander,Chevrolet,2007,29350
Mark LT,Lincoln,2007,38125
Camry Solara,Toyota,2006,21860
CTS,Cadillac,2016,58285
Silverado 1500 Classic,Chevrolet,2007,28995
V40,Volvo,2004,29845
S-Class,Mercedes-Benz,2017,144700
CC,Volkswagen,2015,34275
 Camaro      , Chevrolet,2023,"25,000"
Santa Fe Sport,Hyundai,2017,33450
Continental GT Speed,Bentley,2014,217000
Land Cruiser,Toyota,2015,80155
Jetta SportWagen,Volkswagen,2012,24210
Grand Am,Pontiac,2003,22940
GLK-Class,Mercedes-Benz,2014,38980
S80,Volvo,2016,48375
 Wrangler    , Jeep     ,2023,"38,950"
Tribeca,Subaru,2014,34095
Freelander,Land Rover,2004,26330
LS 460,Lexus,2015,82305
Azure T,Bentley,2010,363000
HS 250h,Lexus,2012,39800
Soul EV,Kia,2015,35700
Sierra 1500 Classic,GMC,2007,33755
RC 200t,Lexus,2017,40155
Jimmy,GMC,2000,2578
Ram Pickup 1500,Dodge,2010,31730
Colorado,Chevrolet,2015,29220
Concorde,Chrysler,2003,28805
Land Cruiser,Toyota,2016,83825
Canyon,GMC,2012,24685
M550i Xdrive,BMW,2022,77790.0
Cavalier,Chevrolet,2003,15530
Envoy,GMC,2009,32760
Cavalier,Chevrolet,2004,10135
 Maverick    , Ford     ,2023,"21,820"
Aviator,Lincoln,2003,42175
Sierra 1500 Classic,GMC,2007,30255
Montero Sport,Mitsubishi,2002,27607
MP4-12C,McLaren,2013,239400
XL-7,Suzuki,2005,24099
allroad,Audi,2014,40700
Alero,Oldsmobile,2004,21985
Montero,Mitsubishi,2004,34999
A4 allroad,Audi,2017,51400
ActiveHybrid 5,BMW,2016,62100
Vanquish,Aston Martin,2015,301695
Esprit,Lotus,2002,89825
C70,Volvo,2011,39950
 A5          , Audi     ,2023,"45,000"
Magnum,Dodge,2007,33615
Q50,Infiniti,2016,33950
XL-7,Suzuki,2005,21899
3,Mazda,2015,25045
Windstar,Ford,2002,31630
Camry Solara,Toyota,2007,29460
SLS AMG GT,Mercedes-Benz,2013,199500
 Acadia      , GMC      ,2023,"33,900"
Sierra 1500 Classic,GMC,2007,26555
Rapide S,Aston Martin,2014,198250
F-150 Heritage,Ford,2004,23160
H3T,HUMMER,2009,36015
Azera,Hyundai,2017,34100
500X Pop AWD,Fiat,2019,23700.0
Elantra Touring,Hyundai,2010,17195
Passat,Volkswagen,2017,29295
SC 430,Lexus,2009,66805
Silverado 1500,Chevrolet,2017,36035
5 Series Gran Turismo,BMW,2016,63200
626,Mazda,2000,2234
Sequoia,Toyota,2016,61855
Tribeca,Subaru,2012,35895
Santa Fe,Hyundai,2015,30150
Z4,BMW,2014,48950
Terraza,Buick,2005,33855
G37,Infiniti,2008,35650
Cullinan,Rolls Royce,2021,330000.0
M2,BMW,2016,51700
 Frontier    , Nissan   ,2023,"28,950"
Mirage,Mitsubishi,2017,14795
S3,Audi,2016,42500
Celica,Toyota,2005,22335
Astro Cargo,Chevrolet,2004,25195
Alpina,BMW,2003,136900
ECHO,Toyota,2005,11785
Taycan Turbo AWD,Porsche,2022,84050.0
Kwid RXL,Renault,2019,5500.0
Metro,Chevrolet,2001,12515
 Sportage    , Kia      ,2023,"25,000"
Triber RXL,Renault,2019,7700.0
Vibe,Pontiac,2009,16100
Cruze,Chevrolet,2017,21920
Mulsanne,Bentley,2015,303700
TSX Sport Wagon,Acura,2013,35510
Stelvio Quadrifoglio,Alfa Romeo,2020,80440.0
Sian Roadster,Lamborghini,2021,3700000.0
Passport,Honda,2001,28050
Outlander,Mitsubishi,2017,31695
Camaro,Chevrolet,2015,29205
Jetta GLI,Volkswagen,2013,25270
Z3,BMW,2000,4976
Cobalt,Chevrolet,2008,22335
ActiveHybrid 5,BMW,2015,61900
Encore,Buick,2015,29450
GS 450h,Lexus,2014,60430
G6,Pontiac,2009,24080
G35,Infiniti,2007,34050
500,Fiat,2018,16495.0
Flying Spur W12,Bentley,2021,216700.0
DB7,Aston Martin,2003,156300
WRX,Subaru,2016,34695
 Expedition  , Ford     ,2023,"54,500"
Aviator,Lincoln,2005,40635
Model S Long Range Plus,Tesla,2021,69420.0
Raider,Mitsubishi,2007,23020
QX50,Infiniti,2016,34450
Aspen,Chrysler,2007,33810
Elantra Touring,Hyundai,2012,17195
S-10,Chevrolet,2002,18519
Magnum,Dodge,2007,23370
Fusion Hybrid,Ford,2017,37020
Dakota,Dodge,2010,26325
Sierra 1500 Classic,GMC,2007,27850
Stelvio AWD,Alfa Romeo,2020,43340.0
City Express,Chevrolet,2015,23515
Yukon XL AT4,GMC,2022,69300.0
Routan,Volkswagen,2011,43240
S-10,Chevrolet,2002,23539
550,Ferrari,2001,248500
TrailBlazer,Chevrolet,2007,31320
X5,BMW,2016,57000
812 Superfast,Ferrari,2020,335000.0
G20,Infiniti,2001,21395
TrailBlazer,Chevrolet,2007,25045
Reno,Suzuki,2008,14939
Ram Pickup 1500,Dodge,2008,33730
RS 5,Audi,2015,79200
M4,BMW,2016,74200
Solstice,Pontiac,2009,30375
SQ5,Audi,2015,52700
SLK-Class,Mercedes-Benz,2015,43950
Z8,BMW,2002,130000
CL,Acura,2003,32700
Matrix,Toyota,2012,21715
GLC-Class,Mercedes-Benz,2016,38950
Firebird,Pontiac,2000,4677
Equator,Suzuki,2012,19299
E-Series Van,Ford,2014,28600
Azera,Hyundai,2015,38200
CX-7,Mazda,2011,33340
Mulsanne,Bentley,2016,303700
Explorer Sport Trac,Ford,2009,28510
XL-7,Suzuki,2005,23299
 Equinox     , Chevrolet,2023,"27,900"
allroad quattro,Audi,2004,39950
Cayenne,Porsche,2016,95500
Q5,Audi,2017,53200
Transit Wagon,Ford,2015,35430
NX 300h,Lexus,2015,39720
Silverado 1500 Classic,Chevrolet,2007,30755
Esteem,Suzuki,2001,14699
Taurus X,Ford,2009,33180
Protege5,Mazda,2003,16895
300 Touring L,Chrysler,2021,30450.0
CR-V,Honda,2014,26470
 Maverick    , Ford     ,2023,"21,820"
Freestyle,Ford,2005,25040
ECHO,Toyota,2003,10245
Cascada,Buick,2017,36065
RSX,Acura,2006,23845
Eclipse Spyder,Mitsubishi,2010,27799
Hector Smart Hybrid,MG,2019,25200.0
Eldorado,Cadillac,2002,45265
MKT,Lincoln,2016,43370
Captiva Sport,Chevrolet,2013,24155
Rapide,Aston Martin,2010,197850
Baja,Subaru,2004,26295
Montero Sport,Mitsubishi,2004,28199
 GV80        , Genesis  ,2023,"47,700"
Park Avenue,Buick,2003,39725
Stratus,Dodge,2004,20820
Five Hundred,Ford,2005,26290
Bolt EV,Chevrolet,2017,40905
Dakota,Dodge,2008,28520
Voyager,Plymouth,2000,2317
Yukon,GMC,2016,65325
Solstice,Pontiac,2009,29410
RX 450h,Lexus,2016,57045
Forester,Subaru,2017,34295
Stelvio Quadrifoglio,Alfa Romeo,2021,80750.0
2,Mazda,2014,17050
A8,Audi,2017,91500
Sebring,Chrysler,2009,20515
California T,Ferrari,2015,198973
Jimmy,GMC,2001,29925
RAV4 EV,Toyota,2012,49800
Dakota,Dodge,2008,26120
B-Series Pickup,Mazda,2000,2637
RDX,Acura,2017,38370
Blazer,Chevrolet,2005,27480
Navigator Reserve 4x2,Lincoln,2021,81960.0
Shelby GT500,Ford,2014,55110
ILX,Acura,2015,29350
CTS-V Wagon,Cadillac,2014,63600
Magnum,Dodge,2006,37320
Ridgeline,Honda,2013,37380
Q7,Audi,2014,64900
G-Class,Mercedes-Benz,2015,115400
R8,Audi,2014,164700
Avalon,Toyota,2017,41050
