Model,Brand,Year,Price
Montero Sport,Mitsubishi,2002,25087
iQ,Scion,2014,17850
IS F,Lexus,2014,63600
Elantra,Hyundai,2015,22600
Spectra,Kia,2007,12895
Sportage,Kia,2016,23650
Giulia Ti Sport Carbon,Alfa Romeo,2020,41340.0
Ridgeline,Honda,2017,37730
Explorer Sport,Ford,2003,21870
Jetta SportWagen,Volkswagen,2014,20995
B-Series Truck,Mazda,2009,16060
 Venue       , Hyundai  ,2023,"20,400"
M35,Infiniti,2008,43900
Spectra,Kia,2008,12895
Neon,Dodge,2004,17640
F-150 Heritage,Ford,2004,22315
Stratus,Dodge,2004,19690
Tracker,Chevrolet,2004,19865
4 Series Gran Coupe,BMW,2017,48300
TL,Acura,2012,42985
Outlander,Mitsubishi,2015,26195
G6,Pontiac,2009,20490
Uplander,Chevrolet,2008,29330
V8 Vantage,Aston Martin,2014,145200
Aurora,Oldsmobile,2001,30619
Tucson,Hyundai,2015,26450
SC 400,Lexus,2000,4404
Voyager L,Chrysler,2022,28930.0
Cube,Nissan,2012,14980
500 Abarth Cabrio,Fiat,2018,32240.0
Town and Country,Chrysler,2015,29995
Aerio,Suzuki,2005,15949
DB9 GT,Aston Martin,2016,235307
Pathfinder,Nissan,2015,29510
Nitro,Dodge,2009,23900
G Coupe,Infiniti,2012,51700
9-5,Saab,2009,43270
 Corvette    , Chevrolet,2023,"75,590"
Sebring,Chrysler,2008,29275
Uplander,Chevrolet,2008,23080
Colorado,Chevrolet,2012,28340
Blackwood,Lincoln,2002,51785
XC,Volvo,2002,36500
360,Ferrari,2004,187124
SLR McLaren,Mercedes-Benz,2008,495000
Flex,Ford,2015,32100
Artura,Mclaren,2021,225000.0
Golf R,Volkswagen,2015,39090
Venture,Chevrolet,2003,29740
Lucerne,Buick,2009,34670
Tahoe,Chevrolet,2017,50215
Routan,Volkswagen,2012,34490
G37,Infiniti,2009,43900
6,Mazda,2017,30695
xB,Scion,2014,16970
Equator,Suzuki,2011,25979
Cruze,Chevrolet,2015,16170
Enyaq Coupe iV 60,Skoda,2022,68090.0
Highlander Hybrid,Toyota,2016,50485
Firebird,Pontiac,2002,28025
500L,FIAT,2017,23695
CC,Volkswagen,2016,32670
350Z,Nissan,2007,30600
G Sedan,Infiniti,2012,41500
XG350,Hyundai,2004,23999
Impala Limited,Chevrolet,2014,26840
Camry Hybrid,Toyota,2017,26790
Acadia,GMC,2015,33975
Silverado 1500 Classic,Chevrolet,2007,19620
Mark LT,Lincoln,2007,41525
M3,BMW,2017,64000
Z4,BMW,2016,57500
ActiveHybrid X6,BMW,2010,88900
Sierra 1500 Limited SLE,GMC,2022,42400.0
Model 3 Standard Range Plus,Tesla,2021,37990.0
TrailBlazer EXT,Chevrolet,2006,25880
Mazdaspeed Protege,Mazda,2003,20480
M6,BMW,2016,119700
Mazdaspeed 3,Mazda,2012,24000
FX,Infiniti,2011,44050
 Ascent      , Subaru   ,2023,"33,420"
Escape,Ford,2015,29735
CX-7,Mazda,2012,26455
XG350,Hyundai,2004,25599
T Scat Pack,Dodge,2022,42000.0
Cavalier,Chevrolet,2003,16830
G37,Infiniti,2009,36650
Murcielago,Lamborghini,2008,345400
G Sedan,Infiniti,2011,41550
Passport,Honda,2000,2452
Envoy,GMC,2008,30115
Evora,Lotus,2011,64000
SF90 Spider,Ferrari,2021,558000.0
Continental GT V8 Convertible,Bentley,2020,222700.0
E55 AMG,Mercedes-Benz,2000,6120
Tiguan,Volkswagen,2015,30225
Prius v,Toyota,2017,26675
C30,Volvo,2012,27450
Escort,Ford,2002,13860
Passat,Volkswagen,2016,26280
Crossfire,Chrysler,2006,45170
Dart,Dodge,2014,16495
Elantra GT,Hyundai,2015,19800
Continental GT3-R,Bentley,2015,337000
 CR-V        , Honda    ,2023,"31,450"
Taurus,Ford,2016,29540
TT,Audi,2017,47000
NSX,Acura,2017,156000
Seville,Cadillac,2003,51650
F12 Berlinetta,Ferrari,2013,315888
GranSport,Maserati,2006,99900
TrailBlazer EXT,Chevrolet,2004,34220
Camaro,Chevrolet,2016,48300
Continental Flying Spur,Bentley,2013,184200
Savana,GMC,2014,30970
F-Pace SVR,Jaguar,2021,84600.0
C70,Volvo,2013,41200
Five Hundred,Ford,2006,24080
Forenza,Suzuki,2007,13999
LS,Lincoln,2006,39285
Malibu Maxx,Chevrolet,2005,20965
Torrent,Pontiac,2008,28120
Corvette,Chevrolet,2017,87015
Pacifica,Chrysler,2007,30250
Esteem,Suzuki,2002,13799
iM,Scion,2016,18460
F-Type First Edition Convertible,Jaguar,2021,75400.0
Five Hundred,Ford,2007,24885
Eclipse Spyder,Mitsubishi,2012,28299
Avenger,Dodge,2014,20595
Sonoma,GMC,2002,20793
FR-S,Scion,2014,24700
 Camaro      , Chevrolet,2023,"25,000"
Ghost Series II,Rolls-Royce,2015,286750
Sonoma,GMC,2002,15957
500L Trekking Hatch,Fiat,2019,22300.0
Huracan Evo Spyder RWD,Lamborghini,2020,287400.0
MX-5 Miata,Mazda,2016,28600
Montero Sport,Mitsubishi,2003,22907
RX 300,Lexus,2003,36925
 RX          , Lexus    ,2023,"46,800"
360,Ferrari,2004,169900
350Z,Nissan,2008,36280
A3,Audi,2015,35150
Dakota,Dodge,2008,30155
DB11 AMR,Aston Martin,2020,241000.0
Silhouette,Oldsmobile,2004,32125
62,Maybach,2011,423500
F-Type R-Dynamic Convertible,Jaguar,2021,84900.0
350Z,Nissan,2008,33840
Vantage AMR 59 Edition,Aston Martin,2020,204990.0
Neon,Dodge,2003,19450
626,Mazda,2000,2080
ILX,Acura,2016,34890
LX 570,Lexus,2017,89380
Jetta SportWagen,Volkswagen,2013,21695
Charger,Dodge,2016,27995
Legacy,Subaru,2017,31640
CLK-Class,Mercedes-Benz,2008,54500
Huracan,Lamborghini,2020,287100.0
Lancer Evolution,Mitsubishi,2014,38195
Flying Spur,Bentley,2014,200500
Outback,Subaru,2017,35995
G Convertible,Infiniti,2013,61450
FJ Cruiser,Toyota,2013,27030
500L,FIAT,2016,21880
350Z,Nissan,2008,37740
Yukon,GMC,2017,68965
Safari Cargo,GMC,2005,22930
Lancer,Mitsubishi,2015,17395
Ram Wagon,Dodge,2000,2326
500 Abarth,Fiat,2018,28240.0
Venture,Chevrolet,2005,30760
DTS,Cadillac,2009,49730
Mazdaspeed 3,Mazda,2013,24200
G20,Infiniti,2000,2449
S-Cross Hybrid,Suzuki,2022,32740.0
Rabbit,Volkswagen,2008,17575
Jimmy,GMC,2001,28770
9-3,Saab,2011,28900
 GV80        , Genesis  ,2023,"47,700"
Ghibli GranLusso,Maserati,2022,82700.0
Esteem,Suzuki,2002,16599
Park Avenue,Buick,2005,40730
812 Superfast,Ferrari,2021,338000.0
NX 200t,Lexus,2016,34965
Uplander,Chevrolet,2006,22750
Magnum,Dodge,2006,22680
S3,Audi,2017,48400
A4,Audi,2015,45000
 Telluride   , Kia      ,2023,"38,500"
Cavalier,Chevrolet,2004,16105
GranTurismo,Maserati,2014,143400
Camaro,Chevrolet,2017,42905
GX 460,Lexus,2015,49485
9-7X,Saab,2008,46530
 4Runner     , Toyota   ,2023,"36,585"
X3,BMW,2016,38950
G6,Pontiac,2008,18765
CTS-V Coupe,Cadillac,2015,69900
Traverse,Chevrolet,2016,44145
Lucerne,Buick,2011,29730
Titan,Nissan,2017,37670
Blazer,Chevrolet,2003,23745
Huracan Evo RWD Spyder,Lamborghini,2021,242580.0
Bravada,Oldsmobile,2002,32660
599,Ferrari,2010,310543
Murcielago,Lamborghini,2008,336400
Murano,Nissan,2016,34400
RX 350,Lexus,2015,40970
Veracruz,Hyundai,2010,35895
Neon,Dodge,2003,13030
Transit Wagon,Ford,2016,36825
ATS Coupe,Cadillac,2016,47605
Golf R,Volkswagen,2016,36750
Rondo,Kia,2009,19495
Quest,Nissan,2014,33750
Superb Sportline AT,Skoda,2020,46260.0
Impreza WRX,Subaru,2013,28295
124 Spider Abarth Convertible,Fiat,2020,29300.0
Juke,Nissan,2017,28020
Sierra 1500 Classic,GMC,2007,30550
Stelvio Sport AWD,Alfa Romeo,2020,43340.0
Cayenne,Porsche,2015,74100
4 Series,BMW,2016,52000
GTC4 Lusso,Ferrari,2018,338550.0
Verano,Buick,2017,21065
RX 450h,Lexus,2015,47620
720S Performance,Mclaren,2022,582580.0
Golf GTI,Volkswagen,2017,35195
IS 250,Lexus,2014,36100
Veracruz,Hyundai,2012,30245
Rabbit,Volkswagen,2008,16675
Magnum,Dodge,2008,27225
Accord Hybrid,Honda,2015,35055
CLK-Class,Mercedes-Benz,2008,89500
500e,FIAT,2016,31800
Silverado 1500 Classic,Chevrolet,2007,24965
Pacifica,Chrysler,2007,27600
Seville,Cadillac,2004,45975
xB,Scion,2013,16970
Corolla,Toyota,2016,19135
650S Spider,McLaren,2015,280225
Fusion Hybrid,Ford,2015,27380
Safari Cargo,GMC,2003,22050
F430,Ferrari,2008,199054
Taurus X,Ford,2009,32325
Tiburon,Hyundai,2007,22095
Crossfire,Chrysler,2007,34595
Taurus X,Ford,2008,32600
X5 M,BMW,2017,98800
Cabrio,Volkswagen,2002,21475
M37,Infiniti,2011,49200
Murcielago,Lamborghini,2009,382400
Taycan Turbo Sport Turismo,Porsche,2022,168041.0
Sierra 1500 Classic,GMC,2007,20750
X5,BMW,2017,57800
Montana,Pontiac,2005,30210
SSR,Chevrolet,2006,39240
Aspen,Chrysler,2008,32905
EX35,Infiniti,2010,33800
Integra,Acura,2001,22600
B9 Tribeca,Subaru,2007,29995
A4,Audi,2016,37000
 Acadia      , GMC      ,2023,"33,900"
G20,Infiniti,2001,22195
Passport,Honda,2000,2715
CL-Class,Mercedes-Benz,2013,213200
Voyager LX,Chrysler,2021,30040.0
Avalanche,Chevrolet,2012,40195
FJ Cruiser,Toyota,2012,27705
Trax,Chevrolet,2016,24145
QX50,Infiniti,2015,36400
STS,Cadillac,2010,55945
Beetle,Volkswagen,2016,25995
Range Rover Sport,Land Rover,2014,79100
SRT Viper,Dodge,2014,107385
Grand Vitara,Suzuki,2013,23799
CLS-Class,Mercedes-Benz,2017,74850
Lucerne,Buick,2010,35730
Tiburon,Hyundai,2008,22620
Phantom Coupe,Rolls-Royce,2016,449525
Express,Chevrolet,2016,37500
Encore GX Essence AWD,Buick,2021,30600.0
 C-Class     , Mercedes ,2023,"42,600"
Grand Voyager,Chrysler,2000,2266
E-Golf,Volkswagen,2022,23190.0
Park Avenue,Buick,2004,40425
Eclipse Spyder,Mitsubishi,2011,32599
Continental,Lincoln,2017,44560
Jimmy,GMC,2001,22270
Urus SUV,Lamborghini,2020,207320.0
Dawn Black Badge,Rolls Royce,2020,428050.0
 XC60        , Volvo    ,2023,"42,400"
Camry Solara,Toyota,2008,21010
RS 7,Audi,2015,106500
M45,Infiniti,2009,52150
 GLC-Class   , Mercedes ,2023,"43,900"
Avalanche,Chevrolet,2010,45815
Tribute Hybrid,Mazda,2009,33445
Spark,Chevrolet,2015,14040
Protege,Mazda,2001,13885
R8,Audi,2017,162900
Venture,Chevrolet,2004,33625
SX4,Suzuki,2012,16799
Intrigue,Oldsmobile,2002,23160
Yaris,Toyota,2016,17670
G6,Pontiac,2009,28960
K AT,Skoda,2020,43900.0
Taurus X,Ford,2009,34175
Lancer,Mitsubishi,2016,18595
500L Lounge Hatch,Fiat,2020,25300.0
i-MiEV,Mitsubishi,2016,22995
Prelude,Honda,2000,3407
Veloster,Hyundai,2015,19250
Challenger SRT Super Stock,Dodge,2021,58990.0
IS 200t,Lexus,2016,37325
Escalade Sport Platinum 4WD,Cadillac,2022,104590.0
B9 Tribeca,Subaru,2007,32495
Terraza,Buick,2006,29750
Journey,Dodge,2016,27395
Forester,Subaru,2015,33095
 Acadia      , GMC      ,2023,"33,900"
Sierra 1500 Classic,GMC,2007,24515
57,Maybach,2012,379050
QX50 Pure AWD,Infiniti,2022,41000.0
xB,Scion,2015,18070
F-150,Ford,2015,45090
Concorde,Chrysler,2002,28415
CLK-Class,Mercedes-Benz,2007,54900
Rabbit,Volkswagen,2008,18650
STS,Cadillac,2009,46845
Taycan Plus,Porsche,2022,99600.0
Spectra,Kia,2009,13550
Sierra 1500 Classic,GMC,2007,30930
Freestar,Ford,2007,26665
Envision,Buick,2016,42070
S7,Audi,2017,82900
9-5,Saab,2010,49165
Diamante,Mitsubishi,2004,24999
Sierra 1500 Hybrid,GMC,2011,45425
Sonoma,GMC,2002,15420
Giulia Ti AWD,Alfa Romeo,2020,43340.0
ECHO,Toyota,2005,10985
Spyder,Maserati,2003,85542
DBS,Aston Martin,2012,295987
Terraza,Buick,2005,28110
Kizashi,Suzuki,2011,21049
Continental,Lincoln,2002,38185
575M,Ferrari,2003,217890
V60 Cross Country,Volvo,2015,41000
M5,BMW,2016,94100
Eldorado,Cadillac,2001,44011
Impala,Chevrolet,2016,40810
Gallardo,Lamborghini,2012,248000
DeVille,Cadillac,2005,46430
4 Series Gran Coupe,BMW,2015,42300
500X Trekking,Fiat,2020,25990.0
Viper,Dodge,2015,107995
Tribute,Mazda,2009,23055
Q60 Coupe,Infiniti,2014,51750
Kiger,Renault,2022,7510.0
Sonic,Chevrolet,2016,16155
Pacifica Hybrid Touring L,Chrysler,2020,42290.0
Solstice,Pontiac,2008,28400
Urus Performante,Lamborghini,2021,218000.0
Taurus,Ford,2017,36855
GranTurismo Convertible,Maserati,2016,161070
456M,Ferrari,2002,224585
Discovery Series II,Land Rover,2001,36350
Envoy,GMC,2009,35615
Pilot,Honda,2017,39255
LX 600 Premium,Lexus,2022,95000.0
Gallardo,Lamborghini,2014,209500
Sentra,Nissan,2016,22170
Cayman,Porsche,2015,63800
Tundra,Toyota,2016,34220
SLS AMG GT,Mercedes-Benz,2014,275000
Protege,Mazda,2003,16140
Envoy,GMC,2009,33480
Q8 Prestige 55 TFSI quattro,Audi,2022,84400.0
Transit Wagon,Ford,2017,34515
Bonneville,Pontiac,2004,35270
Eos,Volkswagen,2014,38325
M5,BMW,2014,92900
Entourage,Hyundai,2007,26395
X6,BMW,2016,62900
X4,BMW,2015,44700
GLA-Class,Mercedes-Benz,2016,49580
Uplander,Chevrolet,2006,28250
SLK-Class,Mercedes-Benz,2016,59200
A6,Audi,2017,53800
Aztek,Pontiac,2003,23820
Encore GX Preferred AWD,Buick,2021,26200.0
 Tundra      , Toyota   ,2023,"42,700"
Avalon,Toyota,2015,37170
ILX Hybrid,Acura,2014,28900
 Camaro      , Chevrolet,2023,"25,000"
GLE-Class Coupe,Mercedes-Benz,2016,65100
LX 570,Lexus,2015,83180
Continental Supersports,Bentley,2012,267000
Dakota,Dodge,2009,29355
Cruze,Chevrolet,2016,19120
ATS Coupe,Cadillac,2017,43395
H3,HUMMER,2009,33390
Ghost,Rolls Royce,2020,315000.0
JS4,JAC,2022,18770.0
Sierra 1500 Classic,GMC,2007,25845
200,Chrysler,2015,25170
Durango Citadel,Dodge,2022,49820.0
Fiesta,Ford,2017,15660
Dakota,Dodge,2008,26590
A6,Audi,2015,58700
Hector Super Hybrid,MG,2019,23300.0
Ram Pickup 1500,Dodge,2008,26705
Freelander,Land Rover,2004,25330
 Acadia      , GMC      ,2023,"33,900"
Ram Van,Dodge,2000,2320
Outlander Sport,Mitsubishi,2017,24195
DBS Superleggera Volante,Aston Martin,2021,334700.0
Sunfire,Pontiac,2003,14930
Borrego,Kia,2009,26245
 A4          , Audi     ,2023,"39,900"
Silverado 3500HD Work Truck,Chevrolet,2022,41700.0
Aveo,Chevrolet,2009,14100
350Z,Nissan,2008,33340
Continental V8 Coupe,Bentley,2021,202600.0
NSX,Acura,2005,89000
Silverado 1500 Classic,Chevrolet,2007,19865
9-3,Saab,2010,32395
Quattroporte,Maserati,2015,106900
GTC4 Lusso T,Ferrari,2018,306800.0
Versa,Nissan,2016,14040
X6 M50d,BMW,2022,188140.0
Galant,Mitsubishi,2010,21599
GLI,Volkswagen,2009,25870
XV Crosstrek,Subaru,2013,21995
626,Mazda,2000,2146
Navigator,Lincoln,2017,65560
TrailBlazer,Chevrolet,2008,29535
ALPINA B6 Gran Coupe,BMW,2016,122200
 X5          , BMW      ,2023,"62,695"
G6,Pontiac,2008,26755
Vitara,Suzuki,2004,19199
EX35,Infiniti,2009,33800
Camry Solara,Toyota,2006,21025
Ram Pickup 1500,Dodge,2009,32945
Passport,Honda,2002,26450
B-Series Truck,Mazda,2009,22150
Prelude,Honda,2001,23600
Freestar,Ford,2007,19700
Virtus,Volkswagen,2022,13080.0
Fusion,Ford,2017,30610
New Beetle,Volkswagen,2008,20525
570S,McLaren,2016,184900
S5,Audi,2017,53100
Ciaz,Suzuki,2022,11300.0
RC 300,Lexus,2017,42770
Cobalt,Chevrolet,2010,15670
Phantom,Rolls-Royce,2016,417825
AMG E53 4MATIC Coupe,Mercedes,2022,77600.0
MDX,Acura,2015,44565
IS 350,Lexus,2014,39615
SC 430,Lexus,2010,68405
Focus,Ford,2017,21675
Phaeton,Volkswagen,2005,96100
ES 330,Lexus,2006,32300
RLX,Acura,2017,54450
New Beetle,Volkswagen,2010,18690
Stelvio Ti AWD,Alfa Romeo,2021,47100.0
Continental GT,Bentley,2014,177500
B9 Tribeca,Subaru,2007,35495
Silverado 1500 Classic,Chevrolet,2007,26685
Phantom,Rolls-Royce,2015,407400
Impreza WRX,Subaru,2014,28495
RSX,Acura,2005,21175
Continental,Lincoln,2002,38790
300 Touring AWD,Chrysler,2021,33190.0
Shelby GT350,Ford,2016,61295
Leaf,Nissan,2015,32100
488 Spider,Ferrari,2018,334400.0
 Grand Cherokee , Jeep     ,2023,"36,750"
Grand Caravan,Dodge,2015,30995
Tribute,Mazda,2009,24200
XL7,Suzuki,2007,25399
DBS Superleggera Coupe,Aston Martin,2021,316300.0
F430,Ferrari,2008,217310
F430,Ferrari,2007,184309
GLI,Volkswagen,2012,26895
SRX,Cadillac,2015,48920
Impreza,Subaru,2016,18295
GX 460,Lexus,2017,51280
Taycan Sports Turismo,Porsche,2022,94400.0
CTS Coupe,Cadillac,2013,40805
Envoy,GMC,2008,37105
Charger SRT Hellcat Widebody,Dodge,2021,69990.0
Roma,Ferrari,2020,225000.0
Jimmy,GMC,2000,2407
S6,Audi,2016,70900
Golf GTI,Volkswagen,2015,29280
Eos,Volkswagen,2015,39545
Passport,Honda,2001,26800
 Escape      , Ford     ,2023,"28,895"
Yukon XL,GMC,2015,61925
Maxima,Nissan,2017,34590
Safari,GMC,2005,24430
RX 330,Lexus,2006,37770
QX50 AUTOGRAPH,Infiniti,2022,56950.0
Eldorado,Cadillac,2002,42130
Quattroporte,Maserati,2016,107900
CLA-Class,Mercedes-Benz,2015,31500
X6,BMW,2015,61900
Veloster,Hyundai,2016,19100
Pacifica,Chrysler,2017,42495
Windstar,Ford,2001,27435
626,Mazda,2001,20935
IS 350,Lexus,2016,43035
Murcielago,Lamborghini,2009,364000
V12 Vanquish,Aston Martin,2005,234260
Charger,Dodge,2017,27995
Elantra Touring,Hyundai,2011,15995
McLaren Speedtail,Mclaren,2020,2100000.0
718 Cayman,Porsche,2017,53900
Pacifica,Chrysler,2008,27225
Cube,Nissan,2013,16760
2,Mazda,2012,16020
IS 350 C,Lexus,2015,47640
Prius v,Toyota,2016,26675
RC 200t,Lexus,2016,39995
B9 Tribeca,Subaru,2007,31995
Solstice,Pontiac,2007,21515
Grand Caravan,Dodge,2017,29395
WRX,Subaru,2017,39995
Aventador SVR Track-Only Edition,Lamborghini,2021,450000.0
350Z,Nissan,2007,38070
Dakota,Dodge,2008,30760
650S Coupe,McLaren,2015,265500
Vanquish,Aston Martin,2014,296295
Cavalier,Chevrolet,2005,14410
FR-S,Scion,2015,31090
XL7,Suzuki,2009,25745
 Explorer    , Ford     ,2023,"37,775"
Giulia GTA,Alfa Romeo,2021,155000.0
G35,Infiniti,2008,34750
Venza,Toyota,2015,35600
Truck,Mazda,2003,23150
Bentayga V8,Bentley,2021,177000.0
F-150 Heritage,Ford,2004,23285
Kwid RXE,Renault,2020,4990.0
Cybertruck Single Motor RWD,Tesla,2021,40000.0
Z3,BMW,2001,31300
S4,Audi,2015,48400
Aspen,Chrysler,2009,37115
Integra,Acura,2001,20200
Tracker,Chevrolet,2002,19060
Flying Spur,Bentley,2020,214600.0
 Compass     , Jeep     ,2023,"26,350"
Malibu Maxx,Chevrolet,2007,23915
RAV4 EV,Toyota,2014,49800
X3,BMW,2017,42750
Endeavor,Mitsubishi,2010,29999
Taurus X,Ford,2009,28270
Veyron 16.4,Bugatti,2008,1500000
EX,Infiniti,2012,38100
Sian Hybrid,Lamborghini,2020,3700000.0
Explorer Sport,Ford,2002,24615
 Wrangler    , Jeep     ,2023,"33,590"
Envoy XL,GMC,2005,36060
GX 460 Luxury 4WD,Lexus,2022,65130.0
Murano,Nissan,2015,39000
DBS,Aston Martin,2010,283900
Passport,Honda,2001,29250
200,Chrysler,2017,29905
Baja,Subaru,2006,25595
ES 330,Lexus,2005,32175
Shelby GT350,Ford,2017,61795
CTS-V Wagon,Cadillac,2013,63215
Escalade,Cadillac,2017,92195
CTS-V,Cadillac,2016,83995
Reno,Suzuki,2006,14199
Forenza,Suzuki,2008,15889
Landaulet,Maybach,2011,1380000
300S,Chrysler,2021,37390.0
Elise,Lotus,2010,47250
 Atlas      , Volkswagen ,2023,"33,450"
Sienna,Toyota,2017,29750
626,Mazda,2002,19985
TL,Acura,2014,37530
B-Series Pickup,Mazda,2000,2413
CT 200h,Lexus,2015,32200
DBS Superleggera Volante,Aston Martin,2020,335000.0
Performante Spyder,Lamborghini,2020,359800.0
Sian Coupe,Lamborghini,2020,3700000.0
5 Series Gran Turismo,BMW,2015,60700
Escort,Ford,2002,12815
Equinox,Chevrolet,2016,22600
CR-Z,Honda,2014,20645
Galant,Mitsubishi,2012,21899
 Model 3     , Tesla    ,2023,"49,990"
Verona,Suzuki,2005,17549
X4,BMW,2017,58100
Kizashi,Suzuki,2012,23899
 RAV4        , Toyota   ,2023,"29,350"
QX60,Infiniti,2015,45400
CL,Acura,2003,28200
SL-Class,Mercedes-Benz,2015,84000
Murano CrossCabriolet,Nissan,2013,44540
i3,BMW,2016,42400
6 Series,BMW,2016,87800
Odyssey,Honda,2016,37650
Forenza,Suzuki,2007,15449
360,Ferrari,2003,165986
Tracker,Chevrolet,2003,17730
1 Series M,BMW,2011,46135
Quattroporte,Maserati,2017,116000
Cavalier,Chevrolet,2004,17410
Sentra,Nissan,2017,21500
599,Ferrari,2009,320580
Escape,Ford,2017,23600
 Bolt EUV    , Chevrolet,2023,"33,995"
S60 Cross Country,Volvo,2017,44200
RX-8,Mazda,2009,27860
K900,Kia,2015,59900
Dakota,Dodge,2008,30780
Aerio,Suzuki,2005,15149
Bentayga Hybrid,Bentley,2020,160000.0
GS 200t,Lexus,2016,53285
Giulia Ti Sport AWD,Alfa Romeo,2020,43340.0
350Z,Nissan,2008,28510
ActiveHybrid 7,BMW,2015,84300
500X Trekking Plus,Fiat,2020,29490.0
Ram Pickup 1500,Dodge,2008,29395
IS 300,Lexus,2016,39700
Cabrio,Volkswagen,2002,20600
A6,Audi,2016,52100
GranTurismo,Maserati,2015,132825
NV200,Nissan,2017,22230
500X 120th Anniversary Edition AWD,Fiat,2019,24400.0
Optima Hybrid,Kia,2015,32150
Altima Hybrid,Nissan,2010,26780
TSX,Acura,2012,30010
Duster 85PS RXS,Renault,2019,14500.0
F-Pace P250,Jaguar,2021,49990.0
812 GTS,Ferrari,2020,363730.0
Silverado 1500 Classic,Chevrolet,2007,35160
CL-Class,Mercedes-Benz,2014,215500
Z3,BMW,2002,31300
Sonoma,GMC,2003,17670
Xterra,Nissan,2015,26670
500L Lounge Hatch,Fiat,2019,24300.0
Flex,Ford,2017,43030
Five Hundred,Ford,2005,28090
Enclave Premium AWD,Buick,2021,50600.0
Accent,Hyundai,2016,15745
F8 Tributo,Ferrari,2020,276550.0
Azera,Hyundai,2016,34100
LS 460,Lexus,2016,75465
RC 350,Lexus,2016,45015
G35,Infiniti,2006,33800
9-7X,Saab,2009,42615
Reno,Suzuki,2006,13299
Spark EV,Chevrolet,2016,25510
